58177.57240411086  294.79 (1.85,-1.71)   26.4 (1.12,-0.79)
58190.67858044863  287.18 (0.75,-2.46)   5.53 (0.26,-0.34)
58191.80396382706  58.71 (1.89,-1.67)   0.78 (1.01,-1.01)
58193.24266207089  271.71 (1.19,-3.43)   -1.42 (1.27,-1.23)
58218.77679461517  218.5 (0.79,-1.27)   0.56 (0.71,-0.75)
58225.2785126638  305.73 (3.6,-1.58)   -4.41 (0.75,-0.67)
58266.50625455115  312.19 (1.76,-1.05)   0.3 (0.6,-1.19)
58277.59689648438  69.08 (1.63,-1.41)   -1.08 (0.78,-0.78)
58281.19039700799  338.69 (5.1,-5.71)   3.73 (3.7,-2.81)
58282.98236039212  38.06 (5.84,-4.26)   11.53 (4.91,-4.15)
58327.84471313767  74.14 (0.44,-0.35)   -17.74 (0.59,-0.51)
58337.20231338376  100.37 (4.0,-5.05)   11.15 (2.12,-2.98)
58369.83300749986  144.98 (1.49,-2.2)   -2.39 (1.12,-1.16)
58370.60418386328  141.37 (1.05,-1.27)   26.94 (1.0,-0.88)
58375.5057999365  329.46 (13.91,-18.23)   -49.8 (11.34,-14.07)
58380.06513011518  258.4 (1.49,-1.49)   32.84 (0.75,-0.94)
58399.77940579056  77.08 (2.68,-3.56)   1.23 (1.16,-1.23)
58405.49466518118  225.22 (1.36,-2.64)   -34.95 (1.79,-1.22)
58414.69273902958  270.18 (1.89,-1.71)   -8.42 (1.55,-1.13)
58414.73594511725  78.27 (1.76,-0.92)   21.54 (0.96,-0.93)
58422.08531733519  36.85 (2.0,-2.02)   -78.88 (0.18,-0.28)
58436.94464815189  6.02 (1.63,-2.24)   18.84 (0.98,-0.87)
58442.70870605052  25.71 (5.54,-5.27)   11.72 (4.5,-2.41)
58442.94364599242  324.58 (7.74,-9.04)   51.74 (9.48,-6.75)
58443.57996791468  132.19 (7.34,-6.99)   32.93 (3.57,-4.19)
58464.08522982179  316.41 (1.85,-2.02)   -31.0 (1.58,-1.68)
58496.08852740324  56.91 (1.63,-1.41)   -0.82 (0.82,-0.75)
58507.15549527989  307.44 (0.53,-1.14)   -32.22 (0.31,-0.96)
58515.01567125964  245.08 (0.75,-0.88)   38.78 (0.67,-0.77)
58519.88970492991  128.66 (0.75,-0.74)   -52.71 (0.82,-0.82)
58528.67267812246  228.25 (0.79,-0.53)   -4.14 (0.3,-0.37)
58535.3511541588  268.59 (1.41,-1.58)   -17.0 (0.51,-1.24)
