run evtid TE_ORIG[TeV] evttype
126718 53509959 102.67313401561262 HED
126769 62990844 49.08911300106318 LED
126798 67205547 105.77039715891513 HED
126812 38566267 408.8436461424313 HED
126848 8902133 37.83526175723062 LED
126860 17477746 21.90814169981581 LED
126863 14025085 43.07807100390606 LED
126878 30560694 92.13063531132421 HED
126911 6416344 130.65030128964656 HED
126976 9961785 163.88341063407807 HED
126989 59479399 68.94649977419795 HED
127112 69211097 207.0761192057394 HED
127154 9907321 105.09308512262781 HED
127357 17650073 215.17494602794477 HED
127495 54505431 144.22093084785442 HED
127603 48070937 139.61363116728364 HED
127650 18431575 35.36185271182232 LED
127742 55820225 148.76567400414925 HED
127790 45902607 41.65004195489606 LED
127853 67093193 117.42475238791555 HED
127910 25056152 127.90315651812507 HED
128034 69069846 25.02761657796284 LED
128065 17929326 29.94328422804434 LED
128067 65335330 42.7716138961713 LED
128209 54386016 29.271008985344668 LED
128253 44251618 29.47819899427005 LED
128278 49218472 19.63370430489962 LED
128290 6888376 141.6387820488989 HED
128292 15195696 20.43130621861219 LED
128311 26552458 132.67745328563237 HED
128334 9739548 48.21507658468431 LED
128340 58537957 341.92638171619564 HED
128547 14557367 42.317445122721004 LED
128567 21044380 115.91955556278988 HED
128606 54200591 1212.023433523421 HED
128632 62194858 22.80451201336415 LED
128651 44166050 72.09315521502747 HED
128672 38561326 172.70826550112852 HED
128755 32356079 50.97212537362633 HED
128785 76992952 68.46808725037633 HED
128796 26367207 116.79558159545908 HED
128906 80127519 95.33341446792663 HED
128967 17750653 66.85166667763741 HED
129020 20626582 44.0379585816729 LED
129144 66284903 53.16064314276451 HED
129153 11436007 161.40467695366456 HED
129154 45298080 56.24054630201101 HED
129232 51118868 59.550197504439176 HED
129267 34234803 50.17543240052504 HED
129307 80305071 209.48933691510152 HED
129420 59928529 143.74607175670943 HED
129434 58903823 29.978873004883354 LED
129506 21161807 43.2677012095603 LED
129506 49650572 52.661790027022604 HED
129550 51402681 36.44357937061738 LED
129654 8332254 25.245727741131798 LED
129677 55886338 84.02133091089283 HED
129701 49353375 62.825707122393034 HED
129777 67372962 217.53378022588518 HED
129855 33565191 289.1989275801648 HED
129878 40814378 52.49916106742358 HED
129915 72252401 30.555662640880545 LED
129933 32926212 128.04879797892752 HED
130033 50579430 130.53865959784258 HED
130034 7858514 48.51416592870343 LED
130092 30964247 67.02734353517883 HED
130126 56068624 309.03888285720143 HED
130172 52824390 40.13325528578854 LED
130214 17569642 365.61601624775227 HED
130561 84363835 269.1706272810062 HED
130588 44934051 144.92181291965355 HED
130597 55489144 138.45344577582523 HED
130639 37366501 455.1273802350319 HED
130684 80612787 27.93005513035884 LED
130743 25740057 24.921533339270443 LED
130797 67186364 49.41182000482271 LED
130801 16289732 53.7776585669379 HED
130807 3160265 47.03428282215175 LED
130912 76035104 145.8475601720868 HED
130932 35022693 208.35163800366007 HED
131096 32665194 28.454441079446433 LED
131134 60192271 37.60304985584702 LED
131145 43542963 30.871259748122142 LED
131165 9342044 49.816014602563534 LED
131360 57649537 230.73758629757356 HED
131475 34507973 123.82274071897442 HED
131477 57977901 52.18255236812066 HED
131519 27561842 158.8657415053991 HED
131602 39194539 23.519401786076855 LED
131624 12296708 107.71187237742893 HED
131653 53411354 120.59649697373963 HED
131653 63430929 32.5945631245252 LED
131746 47815348 33.710012595218025 LED
131764 48222919 46.739043738717804 LED
131767 7377802 17.355494286842873 LED
131768 80926380 51.290616215684054 HED
131913 38717715 250.99028342412583 HED
132043 80110393 60.61942343539421 HED
132077 9759013 284.7298619802386 HED
132128 69441226 57.90648634207172 HED
132206 36575563 134.89055748847255 HED
132229 66688965 200.27204072836818 HED
132237 23969090 47.43166712670732 LED
132321 28454069 45.884396744622094 LED
132427 70353420 31.249144463447983 LED
132437 16335312 23.631921439516155 LED
132437 67132865 24.38206037719464 LED
132443 12627143 36.89135707919504 LED
132465 3856549 46.61899943782725 LED
132508 42419327 64.83273283243233 HED
132518 766165 161.23625001019312 HED
132577 42662743 462.20039940464005 HED
132684 5635104 77.88117754851386 HED
132707 54984442 48.759761835805016 LED
132768 5390846 23.065129279991865 LED
132792 60166398 45.60249530737549 LED
132814 44222682 42.84430021847801 LED
132910 57145925 109.03227325028891 HED
132974 67924813 93.93210474611952 HED
133091 81419 1367.6300934590192 HED
133092 52499868 32.61486828836964 LED
133119 22683750 67.02521678873568 HED
133331 47828126 31.604480117720723 LED
133348 80807014 44.09466449527439 LED
133394 27261780 55.86266724076177 HED
133433 29047901 34.82571314289119 LED
133572 82361476 81.84250875727784 HED
133609 37927131 73.0510418507417 HED
133634 1410505 36.55389851873431 LED
133945 24635982 15.334056236226584 LED
133985 60770138 23.632540295157092 LED
134013 16038252 121.75865943523245 HED
134081 58268464 22.86260765054601 LED
134116 58596690 16.15950027209167 LED
134139 35473338 201.84756023187774 HED
134187 72386329 38.620197309138966 LED
134191 17593623 121.00609424126695 HED
134207 33533447 45.97552070321731 LED
134354 59221243 38.65845517847849 LED
134482 27754576 35.36153348944995 LED
134498 12605830 19.461826521979052 LED
134512 71996695 31.81004232055298 LED
134533 53384881 321.17731191831916 HED
134535 41069485 95.573292077257 HED
134552 68615710 126.928641224358 HED
134577 31638233 418.1983652571736 HED
134599 66310113 445.34247519347315 HED
134621 31008065 26.593518854877196 LED
134698 40735501 100.15874818948758 HED
134699 70289682 48.81050377080394 LED
134715 65785778 31.761760201811825 LED
134751 31476488 153.10928599952484 HED
