58414.73594511725  78.27 (1.76,-0.92)   21.54 (0.96,-0.93)
57024.79626014654  318.74 (3.96,-1.27)   2.91 (0.49,-0.34)
57938.29260240479  230.45 (1.67,-1.71)   23.36 (0.89,-1.1)
56671.87788784308  337.59 (0.57,-0.92)   0.71 (0.86,-0.97)
56971.29675779433  253.43 (0.83,-1.1)   6.43 (0.68,-0.71)
57348.5316095805  262.05 (0.88,-1.05)   -2.24 (0.67,-0.63)
58154.00422026594  17.4 (1.36,-0.92)   -10.54 (0.72,-0.76)
56923.72110248644  169.72 (0.7,-0.83)   -1.6 (0.3,-0.52)
56843.66869305359  25.88 (1.85,-2.99)   2.54 (1.75,-1.79)
57505.24481760429  240.29 (0.44,-0.48)   9.71 (0.42,-0.57)
57925.19120971263  74.97 (7.25,-7.78)   25.08 (6.2,-5.57)
57001.84777231211  318.12 (2.33,-1.93)   1.57 (1.72,-1.57)
55903.71892797326  165.19 (7.03,-4.13)   38.49 (3.49,-3.67)
57518.66395275027  352.88 (1.76,-1.45)   1.9 (0.67,-0.75)
56927.16084624148  50.89 (3.91,-5.14)   -0.63 (1.42,-1.49)
56942.75086742418  63.85 (2.24,-1.36)   3.21 (1.08,-0.9)
58414.69273902958  270.18 (1.89,-1.71)   -8.42 (1.55,-1.13)
57746.53736344514  61.79 (2.5,-2.37)   17.78 (1.56,-1.46)
59014.52872012802  33.84 (4.79,-6.37)   31.61 (2.71,-2.25)
57246.75908975384  328.27 (0.75,-0.88)   6.17 (0.53,-0.49)
58964.97692534277  99.97 (4.76,-3.0)   53.72 (2.25,-1.69)
57279.87493400848  129.68 (1.89,-2.59)   30.35 (1.29,-1.88)
56679.14747345406  138.82 (3.52,-10.11)   37.45 (2.09,-1.95)
59143.27624401794  260.82 (1.71,-1.67)   14.55 (1.31,-0.69)
56975.25687203509  221.48 (4.53,-2.29)   28.0 (2.3,-2.31)
58832.46525037375  286.83 (2.27,-1.92)   58.45 (1.86,-2.08)
58266.50625455115  312.19 (1.76,-1.05)   0.3 (0.6,-1.19)
56588.55850592728  301.9 (1.01,-1.05)   11.61 (1.29,-1.14)
56470.42590147932  155.35 (3.87,-2.37)   3.73 (1.42,-1.72)
58535.3511541588  268.59 (1.41,-1.58)   -17.0 (0.51,-1.24)
55768.51080159916  151.08 (1.19,-1.71)   6.99 (0.83,-0.98)
55908.39772381761  247.85 (1.71,-1.58)   0.56 (1.42,-1.46)
56048.5704208966  165.37 (7.01,-5.36)   -71.51 (2.68,-3.53)
57051.22743860722  358.51 (3.91,-6.55)   6.39 (3.67,-3.16)
56369.28453777279  13.45 (0.79,-0.88)   20.62 (0.99,-1.44)
57488.7345027906  235.63 (1.23,-1.45)   -4.07 (0.86,-1.31)
56758.56676566884  146.95 (3.12,-3.12)   15.91 (2.62,-2.89)
58586.66460083455  245.57 (1.23,-1.49)   21.98 (1.44,-1.21)
