name,flux,ra,dec
J0049+5128,0.264,0.21656563168845885,0.8983291703094813
J0049+0237,0.266,0.21694703987161615,0.04568776778482859
J0049-5738,1.47,0.2181278349594036,-1.0060239735295178
J0050-0452,0.304,0.21973221054834227,-0.08503920508371711
J0050-0929,0.805,0.22117084167208578,-0.1655406510265038
J0051-0650,0.773,0.22312651495120425,-0.11927497408611525
J0051-4226,0.622,0.22322047162443712,-0.740762789348369
J0051+4459,0.189,0.22518192659759106,0.785281606479972
J0052+4402,0.234,0.22891635698353502,0.7687909491454133
J0052+8627,0.181,0.22928219384816043,1.5090516799900358
J0053+2925,0.253,0.23447942024128432,0.5134521098239505
J0054+6811,0.245,0.23690093520589564,1.190077844573912
J0054+7053,0.242,0.23690554040257117,1.2374220447197255
J0054-1953,0.177,0.23801552908249032,-0.34703449096521605
J0055-1217,0.187,0.24083962598296774,-0.2146614259873201
J0056+1625,0.273,0.2483672126481401,0.2865895643350071
J0057-0024,0.211,0.2499458538663124,-0.007142164321698182
J0057+3021,0.6,0.2522643150652972,0.5297501499073025
J0058-0539,0.469,0.25344117429017726,-0.098864554021741
J0058+0620,0.209,0.25553107946034764,0.11056696333682492
J0058-5659,0.961,0.2564602192321147,-0.9946023947208782
J0059+0006,0.551,0.2578371218417619,0.0019955936618043122
J0059+5812,0.299,0.26123280781817093,1.0158964448786076
J0100+6808,0.482,0.26555649008479887,1.1892505355282983
J0102-8012,0.183,0.2716104651555828,-1.3999452246549449
J0102-7546,0.324,0.27188303577013856,-1.3226285937659346
J0102+5824,2.145,0.273853968172019,1.0193262751190244
J0104-2416,0.231,0.28348549485437546,-0.42367114225638863
J0105+4819,0.663,0.28724688257783704,0.8433003957137678
J0105+1553,0.205,0.2873279393771243,0.2774162748901111
J0106-0155,0.266,0.2896515176633097,-0.033638386820522725
J0106-2718,0.77,0.2898760666343277,-0.4765322158849078
J0106+1300,0.15,0.2904050789849334,0.22690542968310598
J0106-0315,0.441,0.29112300650099543,-0.05689916342752347
J0106-4034,1.913,0.29125967087197024,-0.708118670060594
J0106-4831,0.26,0.29202768970117476,-0.8469176600138452
J0107+1312,0.21,0.29568509172591123,0.23040863104424544
J0108-0037,0.337,0.2986580191058027,-0.010880019140597292
J0108+0135,2.52,0.2995254875230064,0.027635917797684137
J0109-6049,0.414,0.3021946848524842,-1.0616860144704534
J0109+3149,0.241,0.30309730776420357,0.555577322690323
J0109+6133,0.385,0.30443955235278525,1.0743978080027874
J0110+6805,0.292,0.30636880207424905,1.1884781580544155
J0110-6315,0.169,0.3066485459920305,-1.1041939495832251
J0110-0741,0.506,0.30907024792503796,-0.13429879194619007
J0111+3906,0.753,0.31250969330550743,0.6825599894697592
J0111-1317,0.264,0.31393076830774924,-0.23184370373253235
J0112+2244,0.458,0.31458285080523,0.3969595583451727
J0112+2020,0.212,0.31490036262991594,0.3549891278703332
J0112+3522,0.461,0.3151006084728763,0.6173585247861089
J0112-6634,0.25,0.3155346514956726,-1.1620265824838167
J0112+3208,0.52,0.31781958819221895,0.5609169817433588
J0113-3551,0.338,0.3196756975642723,-0.625935025315631
J0113+4948,0.6,0.3204865790619119,0.8692905326040036
J0113+0222,0.469,0.3216601780117493,0.04139007747047581
J0114-2419,0.197,0.32705481066986264,-0.4246224984454077
J0115-0127,0.712,0.32849277740493754,-0.025329464900285422
J0115-2804,0.473,0.32898609879044866,-0.4901234769488124
J0115-3049,0.334,0.3306312107277391,-0.537946354246567
J0116-1136,0.895,0.33252318537964604,-0.2025330211686953
J0116+2422,0.186,0.3343809167443509,0.4255390253771691
J0117+1418,0.212,0.33780870412535957,0.24964230028807868
J0117-2111,0.347,0.339523272676508,-0.3697510715843393
J0117+3206,0.177,0.33998204490586564,0.5603605899764448
J0118+0258,0.419,0.34168323609007395,0.051806166182314616
J0118-2141,1.056,0.34450342767090597,-0.3785916833841803
J0119+0829,0.202,0.3447951974890101,0.14832731005670866
J0119-6809,0.268,0.347743559796012,-1.1896123207080278
J0120-4833,0.266,0.34991877745996247,-0.8475477418604027
J0120-2701,0.578,0.3513684765164355,-0.4716493051337957
J0121-2806,0.155,0.35348313227345046,-0.4905450437763392
J0121+1127,0.159,0.3555380532641513,0.19984264135986246
J0121+1149,1.633,0.35645405056120677,0.20648415042253268
J0121+0422,0.991,0.3575642728243575,0.07633262603770846
J0122-0056,0.166,0.35906294792858096,-0.016365840113102284
J0122-0421,0.254,0.35982037573627407,-0.07605357693065408
J0122+2502,0.546,0.36061527481762096,0.4370682251144775
J0122+2954,0.337,0.36109626210675233,0.521914742358116
J0123+2615,0.187,0.3652861535415747,0.4582576571340348
J0123-0923,0.157,0.3655290062895126,-0.1637862358813118
J0124+5618,0.203,0.36839733725088497,0.9828720579561009
J0124-5113,0.172,0.3706927683940573,-0.8939778474331744
J0125+4718,0.159,0.37144291868782403,0.8255556977374424
J0125-2549,0.234,0.3722523641430996,-0.45060711369566664
J0125-0005,1.062,0.3729800494313993,-0.0017256053830802778
J0125-0438,0.212,0.37353656337136093,-0.08093456801351444
J0126+7046,0.239,0.3758161952123678,1.2353653083441958
J0126-2222,0.251,0.3763367406798839,-0.39053488787369883
J0126-1518,0.16,0.3777103925410772,-0.26720077837212647
J0126+2559,0.551,0.3783577577772001,0.4535010209058231
J0127-4813,0.601,0.38068823498630844,-0.8416951863907418
J0128+4901,0.415,0.38455882076158404,0.8555312404511769
J0128+6306,0.389,0.3861951881629897,1.1014476306143874
J0128-5255,0.321,0.38647420071509253,-0.923663327963793
J0129+1446,0.358,0.3923607179164103,0.25795887038654236
J0130+0842,0.178,0.39470871459510604,0.15206749120557522
J0131+3834,0.228,0.3990050620967655,0.6733054638202732
J0131-7916,0.189,0.4006129078365895,-1.3835490896499816
J0132+5620,0.313,0.40291269757595843,0.9833978639429451
J0132-1654,1.324,0.4045882252934013,-0.29519588468746416
J0132+4325,0.27,0.4046347199920098,0.757922129879589
J0133-4430,0.162,0.40585185872531,-0.7768827257813197
J0134+0003,0.189,0.41107624665947395,0.0010915000193018596
J0134-3843,0.383,0.4124816728214763,-0.6758951668322358
J0134-093B,0.19,0.41274575429999444,-0.1661118155510949
J0134-093A,0.3,0.41274615827099426,-0.166111049448516
J0134-093C,0.226,0.4127466799062744,-0.1661111848084958
J0134-093E,0.255,0.4127474883573284,-0.16610992778358338
J0134-093D,0.207,0.4127487993904848,-0.1661130769878118
J0134+6925,0.233,0.41311661633114655,1.2116022322325675
J0135-2008,0.391,0.41724345861940526,-0.3516153021428054
J0136-4044,0.196,0.419086747529994,-0.711174637248932
J0136+4751,2.774,0.423140155162697,0.8352811283453033
J0137+3122,0.317,0.4238774716141416,0.5476254416116133
J0137-2430,0.79,0.4260309758550341,-0.42786691082081957
J0137+3309,0.163,0.4262457312018426,0.5787469803597698
J0138-2711,0.174,0.42831966813652045,-0.4745740925998518
